id,leto,ime,sorta,drzava,velikost,znizana_cena,cena,ocena,ocenjevalec
109087,2015,Fowles Wines Ladies Who Shoot Their Lunch Shiraz,Syrah / Shiraz,Australia,750,29.95,38.99,93,James Halliday - Australian Wine Companion
115679,2018,Fischer Gruner Veltliner Federspiel Rossatz,Gruner Veltliner,Austria,750,15.99,23.99,92,Wine Enthusiast
116272,2018,Layer Cake Cabernet Sauvignon,Cabernet Sauvignon,United States,750,13.09,19.99,,
116913,2017,Apothic Dark,Blend,United States,750,9.29,14.99,,
118090,2017,Louis Martini Napa Valley Cabernet Sauvignon,Blend,United States,750,32.02,43.99,92,James Suckling - Jamessuckling.com
114380,2016,D'arenberg The High Trellis Cabernet Sauvignon,Cabernet Sauvignon,Australia,750,16.99,19.99,,
105895,2016,Shiloh Legend Fiddler,Blend,Israel,750,37.99,45.0,,
118348,2018,Elsa Bianchi Cabernet Sauvignon,Cabernet Sauvignon,Argentina,750,9.87,11.99,,
116721,2017,Kracher Cuvee Auslese,Blend,Austria,375,19.98,24.99,93,Wine Enthusiast
117849,2018,Seghesio Sonoma Zinfandel,Zinfandel,United States,750,19.09,28.99,,
120116,2019,Vee Vee Vinho Verde,Blend,Portugal,750,12.99,18.99,,
119850,2018,Orin Swift Blank Stare Sauvignon Blanc,Sauvignon Blanc,United States,750,34.01,40.0,91,Lisa Perrotti-Brown - Robert Parker&#39;s Wine Advocate
115928,2017,Campolargo Pinot Noir Sparkling Rose,Pinot Noir,Portugal,750,22.99,29.99,,
120222,2019,Oak Farm Sauvignon Blanc,Sauvignon Blanc,United States,750,16.68,21.99,,
118307,2019,Vigneti Del Sole Montepulciano D'abruzzo,Montepulciano,Italy,750,6.99,9.99,,
118944,2017,Columbia Crest Grand Estate Cabernet Sauvignon,Blend,United States,750,9.1,13.99,,
116992,2017,Echeverria Carmenere Gran Reserva,Carmenere,Chile,750,12.99,19.99,,
117809,2019,Brundlmayer Gruner Veltliner Kamptaler Terrassen,Gruner Veltliner,Austria,750,20.98,24.99,93,James Suckling - Jamessuckling.com
116445,2017,Esporao Trincadeira,Trincadeira,Portugal,750,10.98,14.99,,
120069,2016,Eguren Ugarte Cincuenta Rioja,Tempranillo / Tinto Fino / Tinta Roriz,Spain,750,11.28,15.0,,
17268,,Sokol Blosser Evolution White,Blend,United States,750,14.67,18.99,,
104121,,Dalva Moscatel,Moscatel,Portugal,750,9.98,14.99,,
114061,2018,Eva Fricke Qba Riesling Trocken,Riesling,Germany,750,19.99,24.99,,
112632,2016,Lamy Pillot Blagny 1er Cru La Piece Sous Le Bois,Pinot Noir,France,750,49.99,75.0,,
112021,,Dalva 10 Years Old,Port Varieties,Portugal,750,25.99,32.99,90,Wine Enthusiast
113091,2018,Donnhoff Estate Riesling Nahe,Riesling,Germany,750,14.25,25.0,91,James Suckling - Jamessuckling.com
119958,2019,Julien Sunier Wild Soul Beaujolais Lantignie,Gamay,France,750,23.99,27.99,90,William Kelley - Robert Parker&#39;s Wine Advocate
119268,2018,Domaine Du Pelican Arbois Poulsard,Poulsard,France,750,49.99,54.99,90,Luis Gutierrez - Robert Parker&#39;s Wine Advocate
111802,2017,Elk Cove Vineyards Riesling Willamette Valley,Riesling,United States,750,16.99,22.99,,
114870,2015,Ceretto Barolo Docg,Nebbiolo,Italy,750,57.44,69.99,94,Monica Larner - Robert Parker&#39;s Wine Advocate
114808,2016,Vaudieu Chateauneuf Du Pape Vieilles Roussane,Roussanne,France,750,64.99,75.0,95,Jeb Dunnuck - jebdunnuck.com
114935,2018,I Capitani Fiano Di Avellino,Fiano,Italy,750,19.98,24.99,,
118010,2011,Hawk And Horse Latigo 375ml,Cabernet Sauvignon,United States,375,39.99,50.0,92,Wine Enthusiast
114121,2017,Giraud Chateauneuf Du Pape Tradition,Blend,France,750,44.99,54.0,93,Joe Czerwinski - Robert Parker&#39;s Wine Advocate
113424,2018,Leone De Castris Primitivo Salento,Primitivo,Italy,750,12.89,17.99,,
112024,2016,Domaine De Durban Gigondas,Blend,France,750,24.99,35.99,,
113871,2017,Domaine Montvac Vacqueyras Arabesque,Blend,France,750,19.99,25.99,,
89218,,Bartenura Sparkling Moscato,Muscat,Italy,750,14.98,19.99,,
118614,2018,Punt Road Chardonnay,Chardonnay,Australia,750,19.99,25.99,93,James Suckling - Jamessuckling.com
118722,2019,Nativ Greco Di Tufo,Greco,Italy,750,19.99,24.0,96,Luca Maroni - Annuario dei Migliori Vini Italiani
117944,2019,Domaine La Suffrene Bandol Rose,Blend,France,750,19.98,25.99,,
116101,2016,Chateau Beaumont,Blend,France,750,21.98,29.99,91,James Suckling - Jamessuckling.com
114633,2017,Strozzi Morellino Titolato,Blend,Italy,750,14.99,23.0,,
113109,2010,Calabretta Nerello Mascalese Vigne Vecchie,Nerello Mascalese,Italy,750,25.95,35.99,94,Ian Dagata - Vinous Media
115582,2018,Chateau Coulon Corbieres,Blend,France,750,14.98,19.99,,
119786,2018,Yarden Chardonnay Northern Golan,Chardonnay,Israel,750,15.99,22.99,,
118532,2017,Gouffier Rully Blanc 1er Cru La Fosse,Chardonnay,France,750,35.99,42.99,,
115398,2015,Switchback Petit Sirah,Petite Sirah,United States,750,59.99,99.99,,
115648,2017,Paul Lato Seabiscuit Zotovich Vineyards Pinot Noir,Pinot Noir,United States,750,79.99,109.99,95,Jeb Dunnuck - jebdunnuck.com
114671,2017,Rapport Cabernet Sauvignon,Cabernet Sauvignon,United States,750,59.97,69.99,,
110924,2016,Domaine Costal Chablis Vaillons,Chardonnay,France,750,42.99,58.99,,
111617,2017,Paulo Da Silva Branco Casal Da Azenha,Blend,Portugal,750,14.98,19.99,,
120009,2018,Cavallotto Dolcetto D'alba Vigna Scot,Dolcetto,Italy,750,21.99,16.99,,
119778,2016,Woodward Canyon Cabernet Sauvignon Artist Series,Blend,United States,375,26.59,29.99,92,Wine Spectator
119423,2017,Hyde De Villaine Hdv Chardonnay Hyde Vineyard Carneros,Chardonnay,United States,750,69.95,80.0,,
119993,2018,Domaine Barat Chablis 1er Cru Les Fourneaux,Chardonnay,France,750,36.99,39.99,92,Neal Martin - Vinous Media
120011,2017,Cavallotto Nebbiolo Langhe,Nebbiolo,Italy,750,33.99,29.0,,
120119,2019,Roman Candle Pinot Noir,Pinot Noir,United States,750,19.99,27.99,,
24007,,Veuve Clicquot Demi Sec,Blend,France,750,50.99,70.99,91,Falstaff Magazine
114370,2017,Hafner Otto Sparkling Sweet Muscat,Muscat,Austria,750,15.99,19.99,,
116250,2018,Chalk Hill Sauvignon Blanc,Sauvignon Blanc,United States,750,15.99,28.99,,
116864,2016,Poppy Pinot Noir Santa Lucia Highlands Reserve,Pinot Noir,United States,750,16.98,24.99,,
