id,vonj
115835,grapefruit
115835,melon
115835,peach
115835,apricot
115835,lemon
115835,lime
115835,orange
115835,pineapple
115835,butter
115835,cream
115835,vanilla
119079,citrus
119079,mineral
119079,spice
119079,honey
119079,peach
119079,apricot
119079,floral
119079,banana
110513,currant
110513,blackberry
110513,cherry
110513,cedar
110513,cigar
110513,box
106159,violet
106159,rose
106159,truffle
106159,earth
106159,coffee
106159,leather
118719,currant
118719,blackberry
118719,cherry
118719,cedar
118719,cigar
118719,box
118719,violet
118719,rose
118719,truffle
118719,earth
118719,coffee
118719,leather
116506,melon
116506,citrus
116506,spice
118077,spice
118077,box
118077,cedar
118077,dark
118077,fruit
112162,slate
112162,mineral
112162,biscuit
112162,yeast
112162,lemon
112162,citrus
112162,tropical
112162,fruit
117782,violet
117782,rose
117782,petal
117782,oak
117782,smoke
117782,mushroom
84310,currant
84310,blackberry
84310,cherry
84310,cedar
84310,cigar
84310,box
84310,violet
84310,rose
84310,truffle
84310,earth
84310,coffee
84310,leather
115072,plum
115072,violet
115072,almond
115072,dark
115072,berry
115072,spice
116980,apple
116980,pear
116980,peach
116980,apricot
116980,lemon
116980,lime
116980,orange
116980,pineapple
116980,kiwi
116980,butter
116980,cream
116980,vanilla
112128,apple
112128,pear
112128,peach
112128,apricot
112128,lemon
112128,lime
112128,orange
112128,pineapple
112128,kiwi
112128,butter
112128,cream
112128,vanilla
118280,melon
118280,citrus
118280,spice
119802,spice
119802,box
119802,cedar
119802,dark
119802,fruit
119802,currant
119802,blackberry
119802,cherry
119802,cigar
119802,box
119802,violet
119802,rose
119802,truffle
119802,earth
119802,coffee
119802,leather
114017,apple
114017,pear
114017,peach
114017,apricot
114017,lemon
114017,lime
114017,orange
114017,pineapple
114017,kiwi
114017,butter
114017,cream
114017,vanilla
119336,truffle
119336,cherry
119336,plum
119336,leather
119336,vanilla
119562,apple
119562,lemon
119562,citrus
119562,apricot
119562,acidic
119562,honey
119562,slate
119562,almond
119562,herb
119562,tea
119562,wild
119562,flower
119562,orange
119562,blossom
119562,acacia
119562,violet
119562,anise
119562,mint
119754,acacia
119754,floral
119754,peach
119754,stone
119754,fruit
119754,pear
119754,citrus
119754,lemon
119754,grapefruit
119754,lime
119754,citrus
119754,fruit
119754,white
119754,flower
119754,orange
119754,peel
115477,apricot
115477,quince
115477,honey
115477,pineapple
115477,cream
112419,asparagus
112419,green
112419,pepper
112419,red
112419,fruit
117012,currant
117012,blackberry
117012,cherry
117012,cedar
117012,cigar
117012,box
117012,violet
117012,rose
117012,truffle
117012,earth
117012,coffee
117012,leather
107231,currant
107231,blackberry
107231,cherry
107231,cedar
107231,cigar
107231,box
107231,violet
107231,rose
107231,truffle
107231,earth
107231,coffee
107231,leather
107231,tobacco
107231,broccoli
107231,berry
107231,flower
115217,currant
115217,blackberry
115217,cherry
115217,cedar
115217,cigar
115217,box
118237,apple
118237,pear
118237,kiwi
118237,citrus
118237,stone
118237,grapefruit
118237,melon
117144,vanilla
117144,toast
117144,smoke
117144,tobacco
117144,dark
117144,fruit
117144,red
117144,fruit
117144,spice
117144,box
117144,cedar
119544,apple
119544,pear
119544,peach
119544,apricot
119544,lemon
119544,lime
119544,orange
119544,pineapple
119544,kiwi
119544,butter
119544,cream
119544,vanilla
45271,apple
45271,pear
45271,peach
45271,apricot
45271,lemon
45271,lime
45271,orange
45271,pineapple
45271,kiwi
45271,butter
45271,cream
45271,vanilla
45271,flower
45271,barnyard
45271,cherry
45271,plum
45271,game
45271,tomato
119248,truffle
119248,cherry
119248,plum
119248,leather
119248,vanilla
118645,asparagus
118645,green
118645,pepper
118645,red
118645,fruit
107530,apple
107530,pear
107530,white
107530,peach
107530,apricot
117916,apple
117916,pear
117916,peach
117916,apricot
117916,lemon
117916,lime
117916,orange
117916,pineapple
117916,kiwi
117916,butter
117916,cream
117916,vanilla
109717,cocoa
109717,honey
109717,vanilla
109717,butterscotch
109717,dark
109717,fruit
109717,spice
109717,earth
109717,perfume
109717,floral
109717,violet
109717,berry
109717,cherry
109717,plum
109717,earth
109717,leather
109717,herb
109717,raisin
109717,chocolate
109717,blackberry
109717,ripe
109717,cherry
109717,peppercorn
109717,cinnamon
109717,plum
109717,red
109717,fruit
109717,cassis
109717,cinnamon
119104,apple
119104,pear
119104,peach
119104,apricot
