id,okus
115420,peppercorn
115420,cinnamon
115420,plum
115420,red
115420,fruit
115420,berry
115420,cherry
115420,plum
115420,earth
115420,leather
115420,herb
120084,currant
120084,blackberry
120084,cherry
120084,bell
120084,pepper
120084,olive
120084,asparagus
120084,spice
120084,ginger
120084,oak
120084,vanilla
119732,apple
119732,pear
119732,white
119732,peach
119732,apricot
112689,high
112689,acid
112689,low
112689,tannin
112689,fruity
112689,floral
111364,red
111364,fruit
111364,strawberry
111364,raspberry
115835,grass
115835,gooseberry
115835,grapefruit
115835,lime
115835,melon
115835,citrus
115835,mineral
115835,flint
115835,apple
115835,pear
115835,peach
115835,apricot
115835,lemon
115835,orange
115835,pineapple
115835,kiwi
115835,butter
115835,cream
115835,vanilla
119079,citrus
119079,mineral
119079,spice
119079,honey
119079,peach
119079,apricot
119079,floral
119079,banana
110513,currant
110513,blackberry
110513,cherry
110513,bell
110513,pepper
110513,olive
110513,asparagus
110513,spice
110513,ginger
110513,oak
110513,vanilla
106159,currant
106159,black
106159,cherry
106159,plum
106159,bell
106159,pepper
106159,olive
106159,oak
106159,smoke
106159,toast
106159,tar
118719,currant
118719,blackberry
118719,cherry
118719,bell
118719,pepper
118719,olive
118719,asparagus
118719,spice
118719,ginger
118719,oak
118719,vanilla
118719,black
118719,cherry
118719,plum
118719,smoke
118719,toast
118719,tar
116506,high
116506,acid
116506,asparagus
116506,white
116506,pepper
116506,citrus
116506,grapefruit
118077,currant
118077,blueberry
118077,blackberry
118077,strawberry
112162,pear
112162,lemon
112162,mineral
112162,biscuit
112162,vanilla
117782,cherry
117782,strawberry
117782,raspberry
84310,currant
84310,blackberry
84310,cherry
84310,bell
84310,pepper
84310,olive
84310,asparagus
84310,spice
84310,ginger
84310,oak
84310,vanilla
84310,black
84310,cherry
84310,plum
84310,smoke
84310,toast
84310,tar
115072,plum
115072,violet
115072,almond
115072,dark
115072,berry
115072,spice
116980,apple
116980,pear
116980,peach
116980,apricot
116980,lemon
116980,lime
116980,orange
116980,pineapple
116980,kiwi
116980,butter
116980,cream
116980,vanilla
112128,apple
112128,pear
112128,peach
112128,apricot
112128,lemon
112128,lime
112128,orange
112128,pineapple
112128,kiwi
112128,butter
112128,cream
112128,vanilla
118280,high
118280,acid
118280,asparagus
118280,white
118280,pepper
118280,citrus
118280,grapefruit
119802,currant
119802,blueberry
119802,blackberry
119802,strawberry
119802,cherry
119802,bell
119802,pepper
119802,olive
119802,asparagus
119802,spice
119802,ginger
119802,oak
119802,vanilla
119802,black
119802,cherry
119802,plum
119802,smoke
119802,toast
119802,tar
114017,apple
114017,pear
114017,peach
114017,apricot
114017,lemon
114017,lime
114017,orange
114017,pineapple
114017,kiwi
114017,butter
114017,cream
114017,vanilla
119336,blackberry
119336,cherry
119336,smoke
119336,earth
119562,apple
119562,lemon
119562,honeysuckle
119562,spice
119562,floral
119562,honey
119562,citrus
119562,pear
119562,banana
119562,peach
119562,herbal
119562,tea
119562,wild
119562,flower
119562,almond
119562,apple
119562,pear
119562,crisp
119562,acid
119562,orange
119562,mango
119562,kiwi
119562,tangerine
119754,peach
119754,stone
119754,fruit
119754,pear
119754,citrus
119754,lemon
119754,grapefruit
119754,lime
119754,citrus
119754,fruit
119754,apple
115477,fig
115477,lemon
115477,pear
115477,saffron
115477,grass
115477,bell
115477,pepper
112419,red
112419,fruit
112419,strawberry
112419,raspberry
117012,currant
117012,blackberry
117012,cherry
117012,bell
117012,pepper
117012,olive
117012,asparagus
117012,spice
117012,ginger
117012,oak
117012,vanilla
117012,black
117012,cherry
117012,plum
117012,smoke
117012,toast
117012,tar
107231,currant
107231,blackberry
107231,cherry
107231,bell
107231,pepper
107231,olive
107231,asparagus
107231,spice
107231,ginger
107231,oak
107231,vanilla
107231,black
107231,cherry
107231,plum
107231,smoke
107231,toast
107231,tar
107231,tobacco
